iter	Passed	Remaining
572	5799	4321
573	5809	4311
574	5818	4300
575	5827	4289
576	5836	4279
577	5846	4268
578	5856	4258
579	5865	4247
580	5873	4236
581	5883	4225
582	5892	4214
583	5901	4203
584	5911	4193
585	5920	4182
586	5931	4173
587	5940	4162
588	5950	4152
589	5960	4142
590	5970	4131
591	5980	4121
592	5990	4111
593	6000	4101
594	6009	4090
595	6019	4080
596	6029	4070
597	6039	4059
598	6049	4049
599	6058	4039
600	6068	4028
601	6078	4018
602	6088	4008
603	6097	3997
604	6107	3987
605	6116	3976
606	6127	3967
607	6138	3957
608	6148	3947
609	6160	3938
610	6169	3928
611	6179	3917
612	6188	3907
613	6198	3896
614	6208	3886
615	6218	3876
616	6228	3866
617	6239	3856
618	6250	3846
619	6260	3837
620	6273	3828
621	6284	3819
622	6295	3809
623	6305	3799
624	6314	3788
625	6325	3778
626	6336	3769
627	6345	3759
628	6356	3749
629	6366	3738
630	6375	3728
631	6385	3718
632	6394	3707
633	6404	3697
634	6414	3687
635	6424	3677
636	6436	3667
637	6446	3657
638	6456	3647
639	6465	3637
640	6475	3626
641	6485	3616
642	6495	3606
643	6504	3595
644	6515	3586
645	6526	3576
646	6535	3565
647	6546	3556
648	6557	3546
649	6566	3535
650	6576	3525
651	6586	3515
652	6596	3505
653	6605	3494
654	6615	3484
655	6626	3474
656	6635	3464
657	6644	3453
658	6654	3443
659	6665	3433
660	6675	3423
661	6684	3413
662	6694	3403
663	6706	3393
664	6717	3383
665	6728	3374
666	6740	3365
667	6754	3357
668	6768	3348
669	6783	3340
670	6798	3333
671	6814	3326
672	6831	3319
673	6847	3311
674	6862	3303
675	6876	3295
676	6889	3287
677	6902	3278
678	6916	3269
679	6929	3261
680	6944	3253
681	6960	3245
682	6976	3237
683	6991	3229
684	7005	3221
685	7015	3211
686	7028	3202
687	7042	3193
688	7056	3185
689	7069	3176
690	7081	3166
691	7095	3157
692	7107	3148
693	7117	3138
694	7128	3128
695	7141	3119
696	7153	3109
697	7164	3099
698	7173	3089
699	7183	3078
700	7192	3068
701	7202	3057
702	7211	3046
703	7221	3036
704	7230	3025
705	7240	3015
706	7249	3004
707	7259	2993
708	7268	2983
709	7277	2972
710	7287	2962
711	7298	2952
712	7307	2941
713	7316	2930
714	7328	2920
715	7337	2910
716	7348	2900
717	7359	2890
718	7369	2880
719	7378	2869
720	7388	2859
721	7397	2848
722	7406	2837
723	7416	2827
724	7425	2816
725	7434	2805
726	7443	2795
727	7452	2784
728	7462	2773
729	7471	2763
730	7480	2752
731	7490	2742
732	7501	2732
733	7511	2722
734	7522	2712
735	7533	2702
736	7545	2692
737	7555	2682
738	7564	2671
739	7574	2661
740	7584	2650
741	7593	2640
742	7603	2630
743	7613	2619
744	7623	2609
745	7632	2598
746	7643	2588
747	7653	2578
748	7663	2568
749	7674	2558
750	7685	2548
751	7698	2539
752	7709	2528
753	7719	2518
754	7731	2508
755	7742	2498
756	7754	2489
757	7766	2479
758	7776	2469
759	7786	2458
760	7796	2448
761	7806	2438
762	7817	2428
763	7828	2418
764	7838	2407
765	7848	2397
766	7858	2387
767	7868	2376
768	7878	2366
769	7888	2356
770	7899	2346
771	7912	2336
772	7921	2326
773	7933	2316
774	7944	2306
775	7953	2295
776	7966	2286
777	7977	2276
778	7987	2266
779	7997	2255
780	8007	2245
781	8017	2234
782	8026	2224
783	8036	2214
784	8045	2203
785	8054	2192
786	8065	2182
787	8075	2172
788	8086	2162
789	8097	2152
790	8109	2142
791	8119	2132
792	8130	2122
793	8139	2111
794	8148	2101
795	8157	2090
796	8167	2080
797	8176	2069
798	8187	2059
799	8196	2049
800	8205	2038
801	8215	2028
802	8224	2017
803	8233	2007
804	8243	1996
805	8253	1986
806	8263	1976
807	8273	1965
808	8283	1955
809	8293	1945
810	8304	1935
811	8315	1925
812	8324	1914
813	8334	1904
814	8343	1894
815	8353	1883
816	8362	1873
817	8372	1862
818	8381	1852
819	8391	1841
820	8400	1831
821	8409	1820
822	8418	1810
823	8428	1800
824	8438	1789
825	8448	1779
826	8458	1769
827	8467	1758
828	8476	1748
829	8492	1739
830	8502	1729
831	8511	1718
832	8521	1708
833	8529	1697
834	8539	1687
835	8548	1676
836	8557	1666
837	8566	1655
838	8575	1645
839	8584	1635
840	8593	1624
841	8604	1614
842	8614	1604
843	8626	1594
844	8635	1584
845	8646	1574
846	8657	1563
847	8666	1553
848	8676	1543
849	8685	1532
850	8694	1522
851	8704	1512
852	8713	1501
853	8722	1491
854	8732	1480
855	8741	1470
856	8750	1460
857	8760	1449
858	8769	1439
859	8778	1429
860	8788	1418
861	8799	1408
862	8808	1398
863	8818	1388
864	8827	1377
865	8836	1367
866	8845	1356
867	8855	1346
868	8864	1336
869	8874	1326
870	8883	1315
871	8892	1305
872	8902	1295
873	8911	1284
874	8922	1274
875	8931	1264
876	8940	1253
877	8951	1243
878	8960	1233
879	8971	1223
880	8980	1213
881	8989	1202
882	9000	1192
883	9011	1182
884	9021	1172
885	9032	1162
886	9042	1152
887	9052	1141
888	9062	1131
889	9073	1121
890	9083	1111
891	9092	1100
892	9101	1090
893	9112	1080
894	9123	1070
895	9133	1060
896	9144	1050
897	9155	1039
898	9167	1029
899	9178	1019
900	9192	1010
901	9203	999
902	9215	989
903	9225	979
904	9236	969
905	9247	959
906	9257	949
907	9266	938
908	9275	928
909	9285	918
910	9294	908
911	9304	897
912	9314	887
913	9323	877
914	9334	867
915	9344	856
916	9354	846
917	9364	836
918	9377	826
919	9388	816
920	9397	806
921	9407	795
922	9416	785
923	9426	775
924	9435	765
925	9446	754
926	9458	744
927	9468	734
928	9477	724
929	9487	714
930	9497	703
931	9506	693
932	9516	683
933	9526	673
934	9535	662
935	9546	652
936	9555	642
937	9566	632
938	9575	622
939	9587	611
940	9597	601
941	9606	591
942	9616	581
943	9626	571
944	9636	560
945	9645	550
946	9654	540
947	9663	530
948	9672	519
949	9681	509
950	9691	499
951	9701	489
952	9710	478
953	9719	468
954	9729	458
955	9738	448
956	9748	438
957	9757	427
958	9767	417
959	9777	407
960	9787	397
961	9797	387
962	9807	376
963	9816	366
964	9826	356
965	9836	346
966	9847	336
967	9857	325
968	9867	315
969	9877	305
970	9886	295
971	9895	285
972	9906	274
973	9915	264
974	9924	254
975	9934	244
976	9945	234
977	9955	223
978	9964	213
979	9975	203
980	9986	193
981	9995	183
982	10005	173
983	10015	162
984	10025	152
985	10035	142
986	10046	132
987	10057	122
988	10069	111
989	10080	101
990	10091	91
991	10105	81
992	10115	71
993	10127	61
994	10137	50
995	10146	40
996	10156	30
997	10166	20
998	10176	10
999	10185	0
